cifname,value1,value2
T3_303_NH2_NO_H_H-L2_215_CHO_H_H-HCB_A-AA,1.625,0.0786397243
T3_303_NH2_SH_H_H-L2_204_CHO-HCB_A-AA,1.175,0.0941387402
T3_303_NH2_OCOCH3_H_H-L2_212_CHO_H_H-HCB_A-AA,4.923,0.548577918
T3_303_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,2.15,0.1977595591
T3_303_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,2.148,0.2338522567
T3_303_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,2.457,0.2534231063
T3_303_NH2_Cl_H_H-L2_216_CHO_H_H-HCB_A-AA,1.629,0.0825130686
T3_303_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,3.35,0.2942101662
T3_303_NH2_NO2_H_H-L2_209_CHO_H_H-HCB_A-AA,3.109,0.1904344093
T3_303_NH2_F_H_H-L2_214_CHO_H_H-HCB_A-AA,1.54,0.1788312903
T3_303_NH2_SH_H_H-L2_202_CHO_H_H-HCB_A-AA,1.761,0.0922158621
T3_303_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,3.458,0.34305228
T3_303_NH2_NO_H_H-L2_214_CHO_H_H-HCB_A-AA,1.509,0.2028285497
T3_303_NH2_OH_H_H-L2_215_CHO_H_H-HCB_A-AA,1.608,0.1835416802
T3_303_NH2_OCOCH3_H_H-L2_202_CHO_H_H-HCB_A-AA,3.594,0.2886038865
T3_303_NH2_I_H_H-L2_212_CHO_H_H-HCB_A-AA,2.476,0.2086344534
T3_303_NH2_NH2_H_H-L2_209_CHO_H_H-HCB_A-AA,2.518,0.1759861396
T3_303_NH2_NO_H_H-L2_213_CHO_H_H-HCB_A-AA,2.094,0.1582806943
T3_303_NH2_SO2H_H_H-L2_201_CHO_H_H-HCB_A-AA,2.713,0.1061252855
T3_303_NH2_CH3_H_H-L2_206_CHO_H_H-HCB_A-AA,2.753,0.1114383355
T3_303_NH2_CN_H_H-L2_202_CHO_H_H-HCB_A-AA,1.666,0.121511453
T3_303_NH2_EPO_H_H-L2_202_CHO_H_H-HCB_A-AA,2.391,0.3065375296
T3_303_NH2_COOH_H_H-L2_212_CHO_H_H-HCB_A-AA,2.916,0.0550670524
T3_303_NH2_Cl_H_H-L2_208_CHO_H_H-HCB_A-AA,2.389,0.1488723016
T3_303_NH2_OCOCH3_H_H-L2_204_CHO-HCB_A-AA,1.988,0.1092559684
T3_303_NH2_H_H_H-L2_217_CHO_H_H-HCB_A-AA,2.842,0.1232587765
T3_303_NH2_OMe_H_H-L2_211_CHO_H_H-HCB_A-AA,2.328,0.1733389172
T3_303_NH2_Cl_H_H-L2_202_CHO_H_H-HCB_A-AA,1.689,0.1294193708
T3_303_NH2_OMe_H_H-L2_206_CHO_H_H-HCB_A-AA,2.733,0.26220345
T3_303_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,2.843,0.2099782988
T3_303_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,1.628,0.0834648615
T3_303_NH2_NO_H_H-L2_211_CHO_H_H-HCB_A-AA,1.73,0.0781482212
T3_303_NH2_CH3_H_H-L2_217_CHO_H_H-HCB_A-AA,3.63,0.24716535
T3_303_NH2_OH_H_H-L2_205_CHO_H_H-HCB_A-AA,2.07,0.1392849528
T3_303_NH2_CH3_H_H-L2_204_CHO-HCB_A-AA,1.456,0.1511837227
T3_303_NH2_SH_H_H-L2_217_CHO_H_H-HCB_A-AA,2.849,0.220136975
T3_303_NH2_Cl_H_H-L2_207_CHO_H_H-HCB_A-AA,2.239,0.2239545635
T3_303_NH2_CHO_H_H-L2_216_CHO_H_H-HCB_A-AA,1.726,0.1242550748
T3_303_NH2_CHS_H_H-L2_211_CHO_H_H-HCB_A-AA,2.126,0.2676501674
T3_303_NH2_Cl_H_H-L2_204_CHO-HCB_A-AA,1.071,0.0762010736
T3_303_NH2_OMe_H_H-L2_212_CHO_H_H-HCB_A-AA,3.477,0.2817537437
T3_303_NH2_NO2_H_H-L2_201_CHO_H_H-HCB_A-AA,2.858,0.1683203971
T3_303_NH2_CHO_H_H-L2_204_CHO-HCB_A-AA,1.243,0.0842688625
T3_303_NH2_Cl_H_H-L2_205_CHO_H_H-HCB_A-AA,2.126,0.0674859246
T3_303_NH2_NH2_H_H-L2_213_CHO_H_H-HCB_A-AA,2.175,0.0694
