cifname,value1,value2
T3_303_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,4.2890625,29.58964
T3_303_NH2_CN_H_H-L2_204_CHO-HCB_A-AA,2.5546875,16.70759
T3_303_NH2_CN_H_H-L2_205_CHO_H_H-HCB_A-AA,5.0390625,25.45503
T3_303_NH2_CN_H_H-L2_206_CHO_H_H-HCB_A-AA,3.125,25.80354
T3_303_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,4.15234375,29.58964
T3_303_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,3.69140625,29.58964
T3_303_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,4.21484375,27.92707
T3_303_NH2_CN_H_H-L2_210_CHO_H_H-HCB_A-AA,2.638671875,22.58019
T3_303_NH2_CN_H_H-L2_211_CHO_H_H-HCB_A-AA,4.16015625,19.16605
T3_303_NH2_CN_H_H-L2_212_CHO_H_H-HCB_A-AA,4.17578125,27.97925
T3_303_NH2_CN_H_H-L2_213_CHO_H_H-HCB_A-AA,4.48046875,26.42579
T3_303_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,2.88671875,22.58025
T3_303_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,1.96484375,22.58023
T3_303_NH2_CN_H_H-L2_216_CHO_H_H-HCB_A-AA,4.046875,22.58019
T3_303_NH2_CN_H_H-L2_217_CHO_H_H-HCB_A-AA,4.203125,28.16151
T3_303_NH2_COOH_H_H-L2_201_CHO_H_H-HCB_A-AA,4.640625,29.62455
T3_303_NH2_COOH_H_H-L2_202_CHO_H_H-HCB_A-AA,4.3515625,22.10354
T3_303_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,4.17578125,29.58964
T3_303_NH2_COOH_H_H-L2_204_CHO-HCB_A-AA,4.8984375,15.60233
T3_303_NH2_COOH_H_H-L2_205_CHO_H_H-HCB_A-AA,4.35546875,25.45503
T3_303_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,3.76953125,25.67081
T3_303_NH2_COOH_H_H-L2_207_CHO_H_H-HCB_A-AA,4.28125,29.58964
T3_303_NH2_COOH_H_H-L2_208_CHO_H_H-HCB_A-AA,8.328125,29.58964
T3_303_NH2_COOH_H_H-L2_209_CHO_H_H-HCB_A-AA,4.33203125,27.92707
T3_303_NH2_COOH_H_H-L2_210_CHO_H_H-HCB_A-AA,4.52734375,21.71260
T3_303_NH2_COOH_H_H-L2_211_CHO_H_H-HCB_A-AA,4.51953125,19.16605
T3_303_NH2_COOH_H_H-L2_212_CHO_H_H-HCB_A-AA,4.3359375,27.97925
T3_303_NH2_COOH_H_H-L2_213_CHO_H_H-HCB_A-AA,4.609375,26.42579
T3_303_NH2_COOH_H_H-L2_214_CHO_H_H-HCB_A-AA,4.359375,21.75087
T3_303_NH2_COOH_H_H-L2_215_CHO_H_H-HCB_A-AA,4.46484375,21.74509
T3_303_NH2_COOH_H_H-L2_216_CHO_H_H-HCB_A-AA,4.35546875,21.71260
T3_303_NH2_COOH_H_H-L2_217_CHO_H_H-HCB_A-AA,4.83203125,28.16151
T3_303_NH2_Cl_H_H-L2_201_CHO_H_H-HCB_A-AA,4.26953125,29.76422
T3_303_NH2_Cl_H_H-L2_202_CHO_H_H-HCB_A-AA,4.671875,22.31068
T3_303_NH2_Cl_H_H-L2_203_CHO_H_H-HCB_A-AA,5.35546875,29.72946
T3_303_NH2_Cl_H_H-L2_204_CHO-HCB_A-AA,2.708984375,15.71797
T3_303_NH2_Cl_H_H-L2_205_CHO_H_H-HCB_A-AA,5.67578125,25.61567
T3_303_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,2.740234375,25.85074
T3_303_NH2_Cl_H_H-L2_207_CHO_H_H-HCB_A-AA,4.27734375,29.72946
T3_303_NH2_Cl_H_H-L2_208_CHO_H_H-HCB_A-AA,7.6640625,29.72946
T3_303_NH2_Cl_H_H-L2_209_CHO_H_H-HCB_A-AA,4.26171875,28.07458
