cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_CHS_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42632,2974.21,0.762103,15.17338,1.174
T3_301_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.4641,2200.65,0.752286,20.64158,2.134
T3_301_NH2_F_H_H-L2_208_CHO_H_H-HCB_A-AA,0.53064,2659.25,1.05934,22.21663,1.666
T3_301_NH2_CHS_H_H-L2_211_CHO_H_H-HCB_A-AA,0.33958,2392.8,0.479838,12.15739,1.636
T3_301_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,0.56458,4388.51,1.51466,22.51142,2.52
T3_301_NH2_H_H_H-L2_204_CHO-HCB_A-AA,0.34222,3011.6,0.543157,11.49283,0.581
T3_301_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,0.40018,2247.79,0.602705,14.60836,1.025
T3_301_NH2_F_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45192,2522.2,0.759548,18.22096,1.733
T3_301_NH2_NH2_H_H-L2_209_CHO_H_H-HCB_A-AA,0.47494,2328.84,0.815557,20.56711,2.108
T3_301_NH2_OCOCH3_H_H-L2_203_CHO_H_H-HCB_A-AA,0.59226,6488.69,1.7131,21.57669,3.674
T3_301_NH2_F_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42362,2296.65,0.653384,15.26692,0.96
T3_301_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,0.52672,1933.84,0.813554,22.24812,1.641
T3_301_NH2_CHO_H_H-L2_210_CHO_H_H-HCB_A-AA,0.42346,3173.7,0.8013,15.48635,1.308
T3_301_NH2_OCOCH3_H_H-L2_204_CHO-HCB_A-AA,0.34396,6433.34,0.647396,8.49312,1.262
T3_301_NH2_Cl_H_H-L2_203_CHO_H_H-HCB_A-AA,0.53326,2554.03,1.00093,22.21663,1.815
T3_301_NH2_Cl_H_H-L2_213_CHO_H_H-HCB_A-AA,0.4762,2304.34,0.809389,19.08362,1.537
T3_301_NH2_CHS_H_H-L2_206_CHO_H_H-HCB_A-AA,0.47992,2930.06,0.898199,18.64258,1.646
T3_301_NH2_SO2H_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45888,3135.3,0.889024,17.83952,1.895
T3_301_NH2_CHS_H_H-L2_202_CHO_H_H-HCB_A-AA,0.42758,3032.84,0.795652,15.55391,1.443
T3_301_NH2_SO2H_H_H-L2_211_CHO_H_H-HCB_A-AA,0.33254,2320.11,0.460385,12.19508,1.391
T3_301_NH2_NH2_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32646,1819.98,0.393801,11.90783,1.337
T3_301_NH2_COOH_H_H-L2_210_CHO_H_H-HCB_A-AA,0.41746,3121.82,0.771336,14.61923,1.269
T3_301_NH2_SO2H_H_H-L2_209_CHO_H_H-HCB_A-AA,0.48756,2977.24,0.984985,20.76199,2.372
T3_301_NH2_I_H_H-L2_204_CHO-HCB_A-AA,0.26816,1570.46,0.235645,8.42616,0.701
T3_301_NH2_SO2H_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41728,2996.59,0.750914,14.25839,1.409
T3_301_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,0.55884,4466.07,1.50956,22.51142,2.585
T3_301_NH2_NO2_H_H-L2_202_CHO_H_H-HCB_A-AA,0.43444,3157.98,0.829897,16.03786,1.352
T3_301_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5401,3426.77,1.27811,22.37408,2.024
T3_301_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,0.39786,1917.2,0.509671,15.26686,1.157
