cifname,Pore_diameters,GCMC吸附
T3_301_NH2_COOH_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.32
T3_301_NH2_COOH_H_H-L2_210_CHO_H_H-HCB_A-AA,14.57963,1.269
T3_301_NH2_COOH_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.539
T3_301_NH2_COOH_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.17
T3_301_NH2_COOH_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.661
T3_301_NH2_COOH_H_H-L2_214_CHO_H_H-HCB_A-AA,14.60687,1.218
T3_301_NH2_COOH_H_H-L2_215_CHO_H_H-HCB_A-AA,14.60836,1.165
T3_301_NH2_COOH_H_H-L2_216_CHO_H_H-HCB_A-AA,14.57963,1.259
T3_301_NH2_COOH_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.579
T3_301_NH2_Cl_H_H-L2_201_CHO_H_H-HCB_A-AA,22.42969,1.787
T3_301_NH2_Cl_H_H-L2_202_CHO_H_H-HCB_A-AA,15.00006,1.143
T3_301_NH2_Cl_H_H-L2_203_CHO_H_H-HCB_A-AA,22.39844,1.815
T3_301_NH2_Cl_H_H-L2_204_CHO-HCB_A-AA,8.76847,0.648
T3_301_NH2_Cl_H_H-L2_205_CHO_H_H-HCB_A-AA,18.43803,1.607
T3_301_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,18.49058,1.427
T3_301_NH2_Cl_H_H-L2_207_CHO_H_H-HCB_A-AA,22.39844,1.607
T3_301_NH2_Cl_H_H-L2_208_CHO_H_H-HCB_A-AA,22.39844,1.598
T3_301_NH2_Cl_H_H-L2_209_CHO_H_H-HCB_A-AA,20.76199,1.99
T3_301_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,14.61923,1.155
T3_301_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,12.19508,1.291
T3_301_NH2_Cl_H_H-L2_212_CHO_H_H-HCB_A-AA,20.83583,2.028
T3_301_NH2_Cl_H_H-L2_213_CHO_H_H-HCB_A-AA,19.29197,1.537
T3_301_NH2_Cl_H_H-L2_214_CHO_H_H-HCB_A-AA,14.64037,0.989
T3_301_NH2_Cl_H_H-L2_215_CHO_H_H-HCB_A-AA,14.64036,1.008
T3_301_NH2_Cl_H_H-L2_216_CHO_H_H-HCB_A-AA,14.61923,1.065
T3_301_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,21.01744,2.311
T3_301_NH2_EPO_H_H-L2_201_CHO_H_H-HCB_A-AA,22.54254,2.561
T3_301_NH2_EPO_H_H-L2_202_CHO_H_H-HCB_A-AA,15.17686,1.827
T3_301_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,22.51142,2.52
T3_301_NH2_EPO_H_H-L2_204_CHO-HCB_A-AA,9.00138,1.102
T3_301_NH2_EPO_H_H-L2_205_CHO_H_H-HCB_A-AA,18.55352,2.461
T3_301_NH2_EPO_H_H-L2_206_CHO_H_H-HCB_A-AA,18.59012,2.032
T3_301_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,22.51142,2.585
T3_301_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,22.51142,2.745
T3_301_NH2_EPO_H_H-L2_209_CHO_H_H-HCB_A-AA,20.88299,2.95
T3_301_NH2_EPO_H_H-L2_210_CHO_H_H-HCB_A-AA,14.80323,1.645
T3_301_NH2_EPO_H_H-L2_211_CHO_H_H-HCB_A-AA,12.36996,1.998
T3_301_NH2_EPO_H_H-L2_212_CHO_H_H-HCB_A-AA,20.95645,2.777
T3_301_NH2_EPO_H_H-L2_213_CHO_H_H-HCB_A-AA,19.42121,2.24
T3_301_NH2_EPO_H_H-L2_214_CHO_H_H-HCB_A-AA,14.82854,1.574
T3_301_NH2_EPO_H_H-L2_215_CHO_H_H-HCB_A-AA,14.82854,1.504
T3_301_NH2_EPO_H_H-L2_216_CHO_H_H-HCB_A-AA,14.80323,1.618
T3_301_NH2_EPO_H_H-L2_217_CHO_H_H-HCB_A-AA,21.13712,3.046
T3_301_NH2_F_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.68
T3_301_NH2_F_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.151
T3_301_NH2_F_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.866
T3_301_NH2_F_H_H-L2_204_CHO-HCB_A-AA,10.85624,0.56
